"","Taste","Bitter","Thirst","DgAlcohol"
"Christmas Ale",3,1,1.5,5.5
"Emelisse Triple IPA",3.5,2,2.22044604925031e-16,10
"Leman Blanche",2.5,-3.33066907387547e-16,1.5,5
"Thomas Becket Ambree de Bourgogne",2,-6.66133814775094e-16,1,6.5
"Brugs",2,-2.22044604925031e-16,2,4.8
"Tantad",3,1,2,5
"Tsjeeses",4,-1.4432899320127e-15,-2.22044604925031e-16,10
"Ninkasi Ambree",3,1,1,5.1
"Mere Noel ",2.5,1,0.5,8.5
"Arend Triple",3.5,1,1,8
"Brunehaut Terroir",1.5,-2.22044604925031e-16,2,5
"Boris Goudenov",4,2,4.44089209850063e-16,10.5
"Oaked Arrogant Bastard Ale",4,1.5,0.5,7.2
"Etoile du Nord",3.5,1.5,2,5.5
"Rambling Skunk (the)",3.5,1,1.5,6.8
"Hel & Verdoemenis 666",5,1.5,1.11022302462516e-16,10
"Papegaei",3,0.5,1,8
"Westvleteren 12",5,2,0.500000000000001,10.2
"Ename Tripel",3,0.499999999999999,0.5,8.5
"Red Hooter",4.5,1,2,3.5
"Tournay Noire",4,1,1,7.6
"Bush Ambree Triple",3,0.999999999999999,2.22044604925031e-16,12
"Monty Python Holy Grail",1.5,0.5,1.5,4.7
"Biere de Noel Fischer",0.499999999999999,1.5,-3.33066907387547e-16,6
"Chouffe N Ice",3.5,0.499999999999999,-2.22044604925031e-16,10
"ESB Champion Ale",2,2,1,5.9
"Abbaye d Aulnes Blonde 8",2,1,0.5,8
"Witkap Pater Dubbel",3,1,0.5,7
"Soyeuse Ambree Saison Framboise ",3,0.5,1,6
"Divine Saint Landelin ",2.5,-7.7715611723761e-16,1,8.5
"Grognarde ",3.5,1,2,5.5
"London Pride",2.5,1,1.5,4.7
"Guinness Foreign Extra",4,2,0.5,7.5
"Bourgogne des Flandres",3.5,-5.55111512312578e-16,1.5,5
"Saint Petersburg Speyside Whisky Reserve",4.5,-1.22124532708767e-15,-2.22044604925031e-16,8.8
"Mousse Blonde ",0.999999999999999,-3.33066907387547e-16,1.5,4
"Rip Tide",4.5,2,-1.11022302462516e-16,8
"Belle en Goguette - Houblonnee a cru ",3.5,1.5,1.5,4.5
"Pagoa Stout (Zunbeltz)",3,1,1.5,4.3
"Fleurac Triple Brune IPA",4.5,1.5,1,8
